"data";"valor"
"01/06/2010";"55044"
"01/07/2010";"59157"
"01/08/2010";"58616"
"01/09/2010";"57044"
"01/10/2010";"59257"
"01/11/2010";"62938"
"01/12/2010";"73539"
"01/01/2011";"49807"
"01/02/2011";"56900"
"01/03/2011";"64835"
"01/04/2011";"61220"
"01/05/2011";"67912"
"01/06/2011";"64826"
"01/07/2011";"65275"
"01/08/2011";"71290"
"01/09/2011";"66900"
"01/10/2011";"60402"
"01/11/2011";"71843"
"01/12/2011";"78089"
"01/01/2012";"56501"
"01/02/2012";"50703"
"01/03/2012";"64374"
"01/04/2012";"56160"
"01/05/2012";"64632"
"01/06/2012";"66073"
"01/07/2012";"71167"
"01/08/2012";"79746"
"01/09/2012";"63926"
"01/10/2012";"77127"
"01/11/2012";"64524"
"01/12/2012";"77564"
"01/01/2013";"66232"
"01/02/2013";"51024"
"01/03/2013";"58966"
"01/04/2013";"70872"
"01/05/2013";"68580"
"01/06/2013";"70256"
"01/07/2013";"73863"
"01/08/2013";"71007"
"01/09/2013";"72522"
"01/10/2013";"74754"
"01/11/2013";"65155"
"01/12/2013";"77572"
"01/01/2014";"44300"
"01/02/2014";"41749"
"01/03/2014";"38739"
"01/04/2014";"44771"
"01/05/2014";"45263"
"01/06/2014";"39201"
"01/07/2014";"45181"
"01/08/2014";"42070"
"01/09/2014";"47954"
"01/10/2014";"48677"
"01/11/2014";"45037"
"01/12/2014";"50650"
"01/01/2015";"37720"
"01/02/2015";"28971"
"01/03/2015";"36101"
"01/04/2015";"32402"
"01/05/2015";"29338"
"01/06/2015";"29352"
"01/07/2015";"32398"
"01/08/2015";"27215"
"01/09/2015";"26246"
"01/10/2015";"23684"
"01/11/2015";"23376"
"01/12/2015";"27404"
"01/01/2016";"18424"
"01/02/2016";"19364"
"01/03/2016";"25617"
"01/04/2016";"25547"
"01/05/2016";"24719"
"01/06/2016";"26849"
"01/07/2016";"28192"
"01/08/2016";"29121"
"01/09/2016";"23974"
"01/10/2016";"22510"
"01/11/2016";"24872"
"01/12/2016";"29022"
"01/01/2017";"22175"
"01/02/2017";"20017"
"01/03/2017";"25761"
"01/04/2017";"20858"
"01/05/2017";"26831"
"01/06/2017";"28025"
"01/07/2017";"27132"
"01/08/2017";"28974"
"01/09/2017";"25560"
"01/10/2017";"29777"
"01/11/2017";"28219"
"01/12/2017";"32636"
"01/01/2018";"26496"
"01/02/2018";"21857"
"01/03/2018";"27204"
"01/04/2018";"31137"
"01/05/2018";"30496"
"01/06/2018";"31531"
"01/07/2018";"32438"
"01/08/2018";"35273"
"01/09/2018";"31508"
"01/10/2018";"35887"
"01/11/2018";"29119"
"01/12/2018";"35588"
"01/01/2019";"26866"
"01/02/2019";"27325"
"01/03/2019";"29067"
"01/04/2019";"32221"
"01/05/2019";"35393"
"01/06/2019";"32149"
"01/07/2019";"36380"
"01/08/2019";"34791"
"01/09/2019";"35422"
"01/10/2019";"36646"
"01/11/2019";"34150"
"01/12/2019";"36626"
